,Post,Horse,Win,Place,Show,Track,Year,Finish,Odds
242,9.0,Mucho Macho Man,,,,_Preakness_Stakes,2011,6,6.0
243,3.0,King Congie,,,,_Preakness_Stakes,2011,7,20.0
244,14.0,Mr. Commons,,,,_Preakness_Stakes,2011,8,20.0
245,12.0,Isn't He Perfect,,,,_Preakness_Stakes,2011,9,30.0
246,13.0,Concealed Identity,,,,_Preakness_Stakes,2011,10,30.0
247,2.0,Norman Asbjornson,,,,_Preakness_Stakes,2011,11,30.0
248,6.0,Sway Away,,,,_Preakness_Stakes,2011,12,15.0
249,7.0,Midnight Interlude,,,,_Preakness_Stakes,2011,13,15.0
250,4.0,Flashpoint,,,,_Preakness_Stakes,2011,14,20.0
251,4.0,Zetterholm,,,,_Preakness_Stakes,2012,0,20.0
252,2.0,Teeth of the Dog,,,,_Preakness_Stakes,2012,5,15.0
253,10.0,Optimizer,,,,_Preakness_Stakes,2012,6,30.0
254,11.0,Cozzetti,,,,_Preakness_Stakes,2012,7,30.0
255,1.0,Tiger Walk,,,,_Preakness_Stakes,2012,8,30.0
256,8.0,Daddy Nose Best,,,,_Preakness_Stakes,2012,9,12.0
257,5.0,Went the Day Well,,,,_Preakness_Stakes,2012,10,6.0
258,3.0,Pretension,,,,_Preakness_Stakes,2012,11,30.0
259,1.0,Orb,,,,_Preakness_Stakes,2013,4,1.0
260,2.0,Goldencents,,,,_Preakness_Stakes,2013,5,8.0
261,4.0,Departing,,,,_Preakness_Stakes,2013,6,6.0
262,7.0,Will Take Charge,,,,_Preakness_Stakes,2013,7,12.0
263,8.0,Govenor Charlie,,,,_Preakness_Stakes,2013,8,12.0
264,3.0,Titletown Five,,,,_Preakness_Stakes,2013,9,30.0
265,10.0,Ride on Curlin,,,,_Preakness_Stakes,2014,2,10.0
266,2.0,General a Rod,,,,_Preakness_Stakes,2014,4,15.0
267,4.0,Ring Weekend,,,,_Preakness_Stakes,2014,5,20.0
268,9.0,Pablo Del Monte,,,,_Preakness_Stakes,2014,6,20.0
269,1.0,Dynamic Impact,,,,_Preakness_Stakes,2014,7,12.0
270,7.0,Kid Cruz,,,,_Preakness_Stakes,2014,8,20.0
271,5.0,Bayern,,,,_Preakness_Stakes,2014,9,10.0
272,6.0,Ria Antonia,,,,_Preakness_Stakes,2014,10,30.0
273,2.0,Dortmund,,,,_Preakness_Stakes,2015,4,3.5
274,3.0,Mr. Z,,,,_Preakness_Stakes,2015,5,20.0
275,4.0,Danzig Moon,,,,_Preakness_Stakes,2015,6,15.0
276,8.0,Firing Line,,,,_Preakness_Stakes,2015,7,4.0
