,Finish,Post,Horse,Track,Year,Odds,Odds2
216,3rd,8,Cat Thief,_Kentucky_Derby,1999,7.4,7.40
217,4th,9,Prime Timber,_Kentucky_Derby,1999,6.3,6.30
218,5th,2,Excellent Meeting,_Kentucky_Derby,1999,4.8,4.80
219,6th,17,Kimberlite Pipe,_Kentucky_Derby,1999,11.6,11.60
220,7th,1A,Worldly Manner,_Kentucky_Derby,1999,14.5,14.50
221,8th,16,K One King,_Kentucky_Derby,1999,11.6,11.60
222,9th,18,Lemon Drop Kid,_Kentucky_Derby,1999,11.6,11.60
223,10th,7,Answer Lively,_Kentucky_Derby,1999,37,37.00
224,11th,2B,General Challenge,_Kentucky_Derby,1999,4.8,4.80
225,12th,14,Ecton Park,_Kentucky_Derby,1999,11.6,11.60
226,13th,6,Desert Hero,_Kentucky_Derby,1999,19.7,19.70
227,14th,5,Stephen Got Even,_Kentucky_Derby,1999,5.1,5.10
228,15th,15,Valhol,_Kentucky_Derby,1999,11.6,11.60
229,16th,10,First American,_Kentucky_Derby,1999,34.9,34.90
230,17th,3,Adonis,_Kentucky_Derby,1999,18.7,18.70
231,18th,12,Vicar,_Kentucky_Derby,1999,8.2,8.20
232,19th,4,Three Ring,_Kentucky_Derby,1999,25.6,25.60
233,1st,12,Fusaichi Pegasus,_Kentucky_Derby,2000,2.3,2.30
234,2nd,5,Aptitude,_Kentucky_Derby,2000,11.8,11.80
235,3rd,1c,Impeachment,_Kentucky_Derby,2000,6.2,6.20
236,4th,9,More Than Ready,_Kentucky_Derby,2000,11.3,11.30
237,5th,3,Wheelaway,_Kentucky_Derby,2000,20.8,20.80
238,6th,11,China Visit,_Kentucky_Derby,2000,23.7,23.70
239,7th,18,Curule,_Kentucky_Derby,2000,23.7,23.70
240,8th,7,Captain Steve,_Kentucky_Derby,2000,8.1,8.10
241,9th,8,War Chant,_Kentucky_Derby,2000,9.9,9.90
242,10th,6,Deputy Warlock,_Kentucky_Derby,2000,20.8,20.80
243,11th,5,Trippi,_Kentucky_Derby,2000,6.2,6.20
244,12th,16,Exchange Rate,_Kentucky_Derby,2000,59.2,59.20
245,13th,1,Anees,_Kentucky_Derby,2000,17.1,17.10
